tag,Area,Roundness,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
A,43726,0.9243593922415667,0.0007498214685041906,1.3064392368033729e-08,1.0573296439858416e-10,1.6028256376074988e-12,-2.08623388868167e-23,1.8319472789825185e-16,-3.789367048533446e-25
F,44677,0.5111769964761348,0.0007593209503973773,3.4013952615122414e-08,6.048133979636228e-11,4.057978741027068e-12,5.715166822079725e-23,7.863835388767726e-17,-2.784353441012103e-23
D,48104,0.7173080297145134,0.0008405413645522441,1.2544667812672508e-10,2.6656098291798176e-11,1.368608302797333e-13,-1.5752206187441593e-25,2.2505628033732604e-19,-2.0861535693997396e-25
S,22692,0.18133747572745734,0.0017483787668916674,2.7809136085655474e-07,1.414498636906346e-10,1.2535146209527192e-11,3.005555345120113e-22,-5.242145112663123e-15,-4.3390384912416e-22
D,29487,0.23119212800052466,0.001629333887423016,1.4106275860062134e-08,3.2384091620404093e-10,7.736643754350816e-13,-1.1940221005797188e-23,-8.917526882671655e-17,-2.719556288070918e-24
S,40230,0.6899416567708827,0.0007987109041157436,1.4983937047522526e-07,3.264387361497047e-12,1.623149516294747e-13,-4.9925911354728653e-26,-5.393065995049544e-17,-1.0708473928204543e-25
S,31279,0.1661690179292093,0.0011316574362821735,5.178840291862167e-08,7.151482618288993e-11,7.135388010555297e-14,1.543703752259005e-25,1.5529675583883978e-17,-4.637207064958096e-26
S,25883,0.1855446797967904,0.001637329629176424,9.496257628308974e-08,1.0280997715806454e-11,2.2387072833148404e-12,1.015272557937446e-23,-2.2125867364506887e-16,-3.5035286811933466e-24
D,31920,0.4343361439646145,0.0016148271946142393,6.0949775640429845e-09,1.7078298481177305e-10,5.909015751271207e-14,1.8764970616643673e-25,-1.9927090907058304e-18,4.885383668802557e-27
D,54955,2.7403727604010584,0.0006748546025365872,1.0941817537146625e-10,1.2744208731230909e-11,1.4662975356616162e-13,-2.0039060264618852e-25,-1.5311646502100265e-18,-4.5565608496936646e-27
